Time,Camera,Person ID,Person,Type,Level,Confidence,Snapshot,Ack
2026-07-28T19:22:39.744300,CAM-06,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T19:22:38.517564,CAM-04,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T19:22:37.325650,CAM-02,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T19:22:36.355765,CAM-01,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T19:09:07.490284,CAM-01,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T19:09:07.477128,CAM-01,,Camera offline,offline,err,1.0,,0
2026-07-28T19:09:07.021296,CAM-02,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T19:09:07.009858,CAM-02,,Camera offline,offline,err,1.0,,0
2026-07-28T19:09:06.679945,CAM-03,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T19:09:06.668196,CAM-04,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T19:09:06.641141,CAM-03,,Camera offline,offline,err,1.0,,0
2026-07-28T19:09:06.626914,CAM-04,,Camera offline,offline,err,1.0,,0
2026-07-28T19:09:06.395707,CAM-05,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T19:09:06.367825,CAM-05,,Camera offline,offline,err,1.0,,0
2026-07-28T19:09:05.991665,CAM-06,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T19:09:05.973533,CAM-03,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T19:09:05.773761,CAM-06,,Camera offline,offline,err,1.0,,0
2026-07-28T19:09:03.320642,CAM-05,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T19:09:01.830973,CAM-06,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T19:09:00.627112,CAM-04,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T19:08:59.517364,CAM-02,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T19:08:57.764919,CAM-01,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:56:48.667394,CAM-06,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:56:48.655159,CAM-06,,Camera offline,offline,err,1.0,,0
2026-07-28T18:56:47.858606,CAM-05,,Camera offline,camera_offline,err,1.0,,0
